share,change,dollarAmount,insiderPortfolioChange,zeroDay,oneDay,sevenDay,fourteenDay,thirtyDay
49215,243,43708.41,0.004962019112962509,178.67999267578125,1,1,1,0
42978,187,33635.69,0.0043700778201023575,178.67999267578125,1,1,1,0
4693,215,38672.05,0.04801250558284949,178.67999267578125,1,1,1,0
4948,-6025,-1205000.0,-0.5490750022783195,201.57000732421875,0,0,0,0
10973,6025,611477.25,1.217663702506063,201.57000732421875,0,0,0,0
10513,-3236,-640498.2440000001,-0.23536257182340534,199.25,1,0,0,0
13749,3236,284412.04,0.3078093788642633,199.25,1,0,0,0
20349,-100,-19691.0,-0.004890214680424471,197.42999267578125,1,0,0,0
20449,-101,-19885.89,-0.004914841849148419,197.42999267578125,1,0,0,0
20550,-6304,-1241005.4400000002,-0.2347508751024056,197.42999267578125,1,0,0,0
26854,6505,660192.45,0.319671728340459,197.42999267578125,1,0,0,0
6131,-906,-182740.19999999998,-0.1287480460423476,201.02999877929688,0,1,0,0
7037,-34,-6857.46,-0.0048083722245792675,201.02999877929688,0,1,0,0
7071,-199,-40134.519,-0.027372764786795047,201.02999877929688,0,1,0,0
7270,1139,100106.71,0.18577719784700703,201.02999877929688,0,1,0,0
6131,-625,-126296.875,-0.09251036116044997,201.02999877929688,0,1,0,0
8221,-6,-1189.1999999999998,-0.0007293059438434423,197.52000427246094,1,1,0,0
8227,-200,-39638.600000000006,-0.023733238400379733,197.52000427246094,1,1,0,0
8427,-1286,-254872.34,-0.1323998764542366,197.52000427246094,1,1,0,0
9713,-541,-107215.38,-0.0527598985761654,197.52000427246094,1,1,0,0
10254,-100,-19817.0,-0.009658103148541626,197.52000427246094,1,1,0,0
10355,-152,-30118.8,-0.014466546112115732,197.52000427246094,1,1,0,0
10507,-849,-168220.86,-0.07476224022543149,197.52000427246094,1,1,0,0
48582,217,43002.89,0.004486715600124057,197.94000244140625,0,1,0,0
42450,181,35868.77,0.0042820979914358044,197.94000244140625,0,1,0,0
4442,234,46371.78,0.0556083650190114,197.94000244140625,0,1,0,0
3349,-2664,-530375.76,-0.4430400798270414,199.08999633789062,1,1,0,1
2209,892,184938.36000000002,0.6772968868640851,203.72000122070312,0,0,0,0
4337,892,184938.36000000002,0.25892597968069664,203.72000122070312,0,0,0,0
17160,892,184938.36000000002,0.05483157118268994,203.72000122070312,0,0,0,0
7495,892,184938.36000000002,0.13509011055580797,203.72000122070312,0,0,0,0
1392,-33,-6584.82,-0.023157894736842106,199.3800048828125,1,1,1,0
1425,33,2900.37,0.023706896551724137,199.3800048828125,1,1,1,0
2315,-778,-154538.03,-0.25153572583252504,198.61000061035156,1,1,1,1
3093,778,68378.42,0.3360691144708423,198.61000061035156,1,1,1,1
